N,p_m,p_c,trn_size,iteration,generation,best_fitness,avg_fitness
100,0.05,0.02,20,0,194,-137.53945729601884,-209.9906100977181
100,0.05,0.02,20,0,195,-126.8187996428785,-211.11922930547203
100,0.05,0.02,20,0,196,-127.75981574503821,-221.50429911095137
100,0.05,0.02,20,0,197,-64.319206502675,-204.45542963193327
100,0.05,0.02,20,0,198,-131.23851208678758,-214.6864374593975
100,0.05,0.02,20,0,199,-137.53945729601884,-202.33892101140296
100,0.05,0.02,20,0,200,-169.24428900898053,-229.7846202806881
100,0.05,0.02,20,0,201,-138.46648326421052,-229.1625071179789
100,0.05,0.02,20,0,202,-162.80151512977633,-226.43525887783366
100,0.05,0.02,20,0,203,-127.75981574503821,-215.95939259132217
100,0.05,0.02,20,0,204,-131.23851208678758,-235.31617686734182
100,0.05,0.02,20,0,205,-137.53945729601884,-228.51074064610086
100,0.05,0.02,20,0,206,-131.23851208678758,-207.32608999717615
100,0.05,0.02,20,0,207,-137.53945729601884,-211.3152923956138
100,0.05,0.02,20,0,208,-137.53945729601884,-220.23562848516875
100,0.05,0.02,20,0,209,-133.10405388322278,-211.9340468504568
100,0.05,0.02,20,0,210,-128.70318264754368,-216.95956786098793
100,0.05,0.02,20,0,211,-137.53945729601884,-213.6004718879233
100,0.05,0.02,20,0,212,-124.33558553417603,-195.87385011314788
100,0.05,0.02,20,0,213,-162.8852795752515,-213.33670878233687
100,0.05,0.02,20,0,214,-126.8187996428785,-218.80041332140956
100,0.05,0.02,20,0,215,-134.0407993409569,-227.7809353877106
100,0.05,0.02,20,0,216,-161.89412298131649,-223.93716834427755
100,0.05,0.02,20,0,217,-136.61544808322665,-232.39453149292032
100,0.05,0.02,20,0,218,-127.75981574503821,-212.2866314567277
100,0.05,0.02,20,0,219,-175.4616984954482,-228.12755356781042
100,0.05,0.02,20,0,220,-121.48655719667784,-219.86997395584729
100,0.05,0.02,20,0,221,-129.64876634922564,-206.78481146996154
100,0.05,0.02,20,0,222,-177.70744176750625,-226.53163063335987
100,0.05,0.02,20,0,223,-94.14748010928824,-186.19208438120506
100,0.05,0.02,20,0,224,-132.169905660283,-227.4048128269383
100,0.05,0.02,20,0,225,-129.64876634922564,-232.23677217244244
100,0.05,0.02,20,0,226,-137.53945729601884,-214.9534496015096
100,0.05,0.02,20,0,227,-141.09772228646443,-219.7473132361772
100,0.05,0.02,20,0,228,-132.26812023536854,-237.24129950045293
100,0.05,0.02,20,0,229,-132.169905660283,-216.63778897235622
100,0.05,0.02,20,0,230,-169.24428900898053,-225.81301951469743
100,0.05,0.02,20,0,231,-138.46648326421052,-222.6838939207512
100,0.05,0.02,20,0,232,-175.60632371551998,-215.4085314923503
100,0.05,0.02,20,0,233,-131.23851208678758,-199.96265109004196
100,0.05,0.02,20,0,234,-169.24428900898053,-220.56473833110832
